

Carl Landry,Forward,"6'9""",248,2007,PURD,32.0,993.0,612.0,239.0,40.0,39.0,31.0,96.0,93.0,1
Tre Kelley,Guard,"6'0""",188,2007,SCAR,13.0,479.5,248.0,31.5,65.5,10.0,3.5,38.5,28.0,1
Brandon Heath,Guard,"6'3""",183,2007,SDST,14.0,516.0,266.5,52.5,50.5,26.5,1.0,44.0,23.0,1
Jared Dudley,Forward,"6'7""",225,2007,BCOL,14.5,555.5,276.0,117.0,44.0,19.5,4.5,38.0,32.5,1
Rashad West,Guard,"6'1""",175,2008,HAMP,27.5,869.5,490.5,90.5,78.0,46.0,0.0,92.5,58.0,2
Sean Singletary,Guard,"6'0""",185,2008,UVA,30.5,1023.0,583.0,128.5,163.0,46.0,1.0,104.5,78.5,2
Stefon Jackson,Guard,"6'3""",170,2009,UTEP,30.0,1044.0,679.6666666666666,171.66666666666666,50.666666666666664,36.0,3.666666666666666,67.33333333333334,77.66666666666667,3
Andre Harris,Forward,"6'7""",220,2007,FDU,14.0,511.5,262.5,106.0,20.0,19.5,17.5,37.0,39.5,1
Mario Boggan,Center,"6'7""",240,2007,OKST,31.0,1022.0,581.0,240.0,43.0,32.0,25.0,79.0,91.0,1
Aaron Nixon,Guard,"6'2""",219,2007,LBSU,29.0,959.0,543.0,140.0,93.0,37.0,7.0,78.0,77.0,1
Acie Law,Guard,"6'3""",202,2007,TXAM,16.0,554.0,298.5,55.0,80.0,18.5,0.5,40.0,38.0,1
J.R. Reynolds,Guard,"6'2""",200,2007,UVA,15.5,505.0,289.0,64.0,57.5,13.5,1.5,47.5,41.0,1
Drew Neitzel,Guard,"6'0""",180,2008,MIST,31.5,1065.0,505.0,83.5,133.0,29.0,5.5,58.0,43.5,2
Rob McKiver,Guard,"6'3""",195,2008,HOU,30.5,1094.5,643.5,105.5,96.0,43.0,0.5,84.5,61.5,2
Nick Aldridge,Forward,"6'7""",230,2007,WCAR,28.0,914.0,519.0,194.0,42.0,48.0,10.0,77.0,77.0,1
Quin Humphrey,Guard,"6'2""",190,2007,YOST,14.0,500.0,257.0,99.0,41.5,19.0,5.0,39.0,21.5,1
